Name,Links,Date
How to Change Data Type in Power Query,https://medium.com/trading-data-analysis/how-to-install-ta-lib-on-a-local-computer-cf04b81cc505?source=your_stories_page-------------------------------------,9/15/2024
Part 6 of Power Query by Dr. Alvin Ang,https://medium.com/python-in-plain-english/how-to-use-r-studio-as-a-python-ide-9c4707549897?source=your_stories_page-------------------------------------,9/16/2024
Joining and Appending Tables in Power Query,https://medium.com/insiderfinance/performing-simple-linear-regression-to-tesla-stock-price-prediction-the-right-way-e259f21f3f61?source=your_stories_page-------------------------------------,9/17/2024
Part 5 of Power Query by Dr. Alvin Ang,https://medium.com/trading-data-analysis/learning-pandas-ta-5ba7752bfdb7?source=your_stories_page-------------------------------------,9/18/2024
Combining a Bunch of XLS into One Spreadsheet using Power Query,https://medium.com/datafrens-sg/china-datafrens-%E4%B8%AD%E5%9B%BD%E6%95%B0%E6%8D%AE%E6%9C%8B%E5%8F%8B-62b5bd24a4dc?source=your_stories_page-------------------------------------,9/19/2024
Part 4 of Power Query by Dr. Alvin Ang,https://medium.com/insiderfinance/performing-simple-linear-regression-to-tesla-stock-price-prediction-the-wrong-way-ad513246fccb?source=your_stories_page-------------------------------------,9/20/2024
Other Data Communities…,https://medium.com/datadriveninvestor/how-to-plot-candle-stick-charts-using-plotly-fbbfc9454d6e?source=your_stories_page-------------------------------------,9/21/2024
by Dr. Alvin Ang,https://medium.com/datafrens-sg/korean-datafrens-%ED%95%9C%EA%B5%AD%EC%96%B4-%EB%8D%B0%EC%9D%B4%ED%84%B0%ED%94%84%EB%A0%8C%EC%8A%A4-36fbafb2f4d6?source=your_stories_page-------------------------------------,9/22/2024
Job Simulators,https://medium.com/python-in-plain-english/using-len-y-for-train-test-split-7e854417cc0e?source=your_stories_page-------------------------------------,9/23/2024
DATA COMPETITIONS!!!,https://medium.com/python-in-plain-english/error-handling-in-python-127d8067a84c?source=your_stories_page-------------------------------------,9/24/2024
Web Scraping and Unpivoting using Power Query,https://medium.com/python-in-plain-english/pie-chart-in-python-b0278d06aa2a?source=your_stories_page-------------------------------------,9/25/2024
Part 3 of Power Query by Dr. Alvin Ang,https://medium.com/python-in-plain-english/line-plots-with-python-6ce228d3b3ff?source=your_stories_page-------------------------------------,9/26/2024
Data Cleansing an Employees Dataset in Power Query,https://medium.com/python-in-plain-english/linear-regression-plots-using-seaborn-86ef51c75f9e?source=your_stories_page-------------------------------------,9/27/2024
Part 2 of Power Query by Dr. Alvin Ang,https://medium.com/python-in-plain-english/histogram-plots-using-python-36a45260d9fa?source=your_stories_page-------------------------------------,9/28/2024
DATA CLEANSING & WRANGLING LIST,https://medium.com/python-in-plain-english/sub-plots-in-python-1eaf4781c682?source=your_stories_page-------------------------------------,9/29/2024
Ways to Open Power Query,https://medium.com/python-in-plain-english/bar-plotting-using-seaborn-5c90c99c102b?source=your_stories_page-------------------------------------,9/30/2024
Part 1 of Power Query by Dr. Alvin Ang,https://medium.com/python-in-plain-english/bar-plotting-using-pandas-python-82adab30118a?source=your_stories_page-------------------------------------,10/1/2024
CHATGPTS,https://medium.com/datafrens-sg/phds-in-datafrens-84ff0751ef36?source=your_stories_page-------------------------------------,10/2/2024
AI Tools for Data Analytics,https://medium.com/datafrens-sg/japanese-datafrens-%E6%97%A5%E6%9C%AC%E3%81%AE%E3%83%87%E3%83%BC%E3%82%BF%E3%83%95%E3%83%AC%E3%83%B3%E3%82%BA-f57d2c8ae271?source=your_stories_page-------------------------------------,10/3/2024
DATA SOURCES,https://medium.com/datafrens-sg/uncles-of-datafrens-3d4adaa9e0c0?source=your_stories_page-------------------------------------,10/4/2024
Box Plots with R,https://medium.com/python-in-plain-english/adjusting-plots-with-matplotlib-3ff0ab1e71f2?source=your_stories_page-------------------------------------,10/5/2024
Part 2 of Plotting with R by Dr. Alvin Ang,https://medium.com/python-in-plain-english/adjusting-plots-with-pandas-70929c916197?source=your_stories_page-------------------------------------,10/6/2024
Pair Plots with R,https://medium.com/datafrens-sg/vietnamese-datafrens-2c3375f1d8e7?source=your_stories_page-------------------------------------,10/7/2024
Part 1 of Plotting with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/russian-datafrens-de7239341a73?source=your_stories_page-------------------------------------,10/8/2024
How to Read CSVs / Write CSVs / Set Working Directory in R Studio,https://medium.com/datafrens-sg/administrators-of-datafrens-chatgroup-1fe94d40da55?source=your_stories_page-------------------------------------,10/9/2024
Part 11 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/@dr-alvin-ang/how-to-create-random-data-2c077a4c9803?source=your_stories_page-------------------------------------,10/10/2024
Joins using R,https://medium.com/python-in-plain-english/scatter-plots-in-python-2f0febf3cd2e?source=your_stories_page-------------------------------------,10/11/2024
Part 10 of Data Wrangling by Dr. Alvin Ang,https://medium.com/python-in-plain-english/box-plots-in-python-1cb03d4bef0f?source=your_stories_page-------------------------------------,10/12/2024
Using Table(Factor) to Count Unique Values per Category with R,https://medium.com/python-in-plain-english/correlation-heat-maps-in-python-4473f6a7e83b?source=your_stories_page-------------------------------------,10/13/2024
Part 9 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/fund-managers-in-datafrens-d47a8a051add?source=your_stories_page-------------------------------------,10/14/2024
Differences between Tibble vs DataFrame in R,https://medium.com/datafrens-sg/learning-miscellanous-features-of-google-workspace-c399cbd6c127?source=your_stories_page-------------------------------------,10/15/2024
Part 8 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-sheets-charting-11eaefbe8cc6?source=your_stories_page-------------------------------------,10/16/2024
Using TIDYR(Gather & Pivot_Wider) to Pivot Data,https://medium.com/datafrens-sg/learning-google-sheets-pivot-b841d1780034?source=your_stories_page-------------------------------------,10/17/2024
Part 7 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-sheets-vlookup-0499af97d996?source=your_stories_page-------------------------------------,10/18/2024
Using DPLYR to RESET and SET Index in DataFrame in R,https://medium.com/datafrens-sg/learning-google-sheets-finding-all-formulaes-large-small-max-min-63f7c6440925?source=your_stories_page-------------------------------------,10/19/2024
Part 6 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-sheets-if-sumif-avgif-countif-countifs-9d2555d077da?source=your_stories_page-------------------------------------,10/20/2024
Using DPLYR (Mutate) to Rename and Create New Columns in R,https://medium.com/datafrens-sg/learning-google-sheets-cell-lock-paste-values-named-range-53773d603215?source=your_stories_page-------------------------------------,10/21/2024
Part 5 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-sheets-sum-average-round-fdb9231033da?source=your_stories_page-------------------------------------,10/22/2024
"Using DPLYR(Select & Filter) to Filter NAs, Slice Columns and Rows in R",https://medium.com/datafrens-sg/learning-google-sheets-sorting-a6874102aeff?source=your_stories_page-------------------------------------,10/23/2024
Part 4 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-sheets-find-and-replace-e9304263d36f?source=your_stories_page-------------------------------------,10/24/2024
Cybersecurity DataFrens,https://medium.com/datafrens-sg/learning-google-sheets-filtering-305409304ae6?source=your_stories_page-------------------------------------,10/25/2024
Cybersecs Experts by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-sheets-autofill-230f95327c3a?source=your_stories_page-------------------------------------,10/26/2024
Sample Datasets in R Studio,https://medium.com/python-in-plain-english/pair-plots-in-python-4d6753e50109?source=your_stories_page-------------------------------------,10/27/2024
Part 0a of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/nerd-for-tech/fast-track-2-level-factorial-design-in-minitab-ac510edced0b?source=your_stories_page-------------------------------------,10/28/2024
"Logical Indexing to Filter NAs, Slice Columns and Filter Rows with R",https://medium.com/nerd-for-tech?source=your_stories_page-------------------------------------,10/29/2024
Part 3 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-sheets-68f324730828?source=your_stories_page-------------------------------------,10/30/2024
"Using Subset to Filter NAs, Slice Columns and Filter Rows with R",https://medium.com/datafrens-sg/step-by-step-drawing-a-simple-bar-chart-9603a54d5fa9?source=your_stories_page-------------------------------------,10/31/2024
Part 2 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/step-by-step-how-to-download-tableau-public-94026d6afd39?source=your_stories_page-------------------------------------,11/1/2024
R Programming,https://medium.com/datafrens-sg/max-presents-to-the-minister-for-trade-of-singapore-mr-gan-kim-yong-6b5cb7ffcd06?source=your_stories_page-------------------------------------,11/2/2024
About Dr. Alvin Ang,https://medium.com/datadriveninvestor/utilizing-analytic-hierarchy-process-ahp-for-optimal-financial-instrument-selection-for-joeys-45da2c6cfa88?source=your_stories_page-------------------------------------,11/3/2024
Using Indexing to Slice Columns & Rows with R,https://medium.com/datafrens-sg/kazo-a-premier-taiwanese-bakery-in-singapore-uses-the-analytic-hierarchy-process-ahp-to-assist-e2f6742c70f2?source=your_stories_page-------------------------------------,11/4/2024
Part 1 of Data Wrangling with R by Dr. Alvin Ang,https://medium.com/datafrens-sg/data-science-list-74cf5d672877?source=your_stories_page-------------------------------------,11/5/2024
TECH CONFERENCES!!!!,https://medium.com/datafrens-sg/kazo-a-premier-taiwanese-bakery-in-singapore-uses-the-analytic-hierarchy-process-ahp-to-assist-344f587c42b8?source=your_stories_page-------------------------------------,11/6/2024
Supply Chain DataFrens,https://medium.com/datafrens-sg/kazo-a-premier-taiwanese-bakery-in-singapore-uses-the-analytic-hierarchy-process-ahp-to-assist-9b02ca4ef4f3?source=your_stories_page-------------------------------------,11/7/2024
Supply Chain / Bicycle Chain / Gold Chain / Cold Chain / Hot Chain / Reverse Chain / Food Chain / Retail Chain / Prison Chain / Love…,https://medium.com/datafrens-sg/kazo-a-premier-taiwanese-bakery-in-singapore-uses-the-analytic-hierarchy-process-ahp-to-assist-56887d2e7bb9?source=your_stories_page-------------------------------------,11/8/2024
Performing Basic Logistic Regression to Tesla Stock Prediction,https://medium.com/datadriveninvestor/utilizing-a-scoring-board-to-determine-joeys-team-s-ideal-holiday-destination-8980d3945600?source=your_stories_page-------------------------------------,11/9/2024
Part 0d of Supervised Machine Learning for Trading in Python by Dr. Alvin Ang,https://medium.com/datafrens-sg/kazo-a-premier-taiwanese-bakery-in-singapore-uses-the-scoring-board-to-determing-the-best-39c50f220c29?source=your_stories_page-------------------------------------,11/10/2024
Ways to Plot a Logistic Regression Curve in Python,https://medium.com/datafrens-sg/learning-google-sites-7d2928a6a4d5?source=your_stories_page-------------------------------------,11/11/2024
Part 4 of Learning Logistic Regression by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-jamboard-a6bd8c848251?source=your_stories_page-------------------------------------,11/12/2024
Ways of Reshaping Data to Fit Machine Learning (ML) Models,https://medium.com/datafrens-sg/learning-google-keep-5b9a6f60813a?source=your_stories_page-------------------------------------,11/13/2024
Part 4 of Machine Learning Sub Topics in Python by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-forms-f94ea926ca2b?source=your_stories_page-------------------------------------,11/14/2024
Performing Basic Multiple Regression to Tesla Stock Price Prediction,https://medium.com/datafrens-sg/learning-google-slides-e9c5d46c1c23?source=your_stories_page-------------------------------------,11/15/2024
Part 0c of Supervised Machine Learning for Trading in Python by Dr. Alvin Ang,https://medium.com/datafrens-sg/learning-google-docs-ac76ae602ec8?source=your_stories_page-------------------------------------,11/16/2024
Ways to Import Data from YFinance,https://medium.com/datafrens-sg/introduction-to-google-workspace-apps-b2dca1ff7f9f?source=your_stories_page-------------------------------------,11/17/2024
Part 10 of Python for Finance by Dr. Alvin Ang,https://medium.com/datafrens-sg/kazo-a-premier-taiwanese-bakery-in-singapore-leverages-decision-tree-analysis-to-determine-hiring-a603f2270ce1?source=your_stories_page-------------------------------------,11/18/2024
Ways to Create Quick Finance Plots in Python,https://medium.com/datafrens-sg/taiwanese-bakery-in-singapore-uses-decision-tree-to-outsource-production-31b15a5065ce?source=your_stories_page-------------------------------------,11/19/2024
Part 9 of Python for Finance by Dr. Alvin Ang,https://medium.com/datafrens-sg/indian-datafrens-effa20f55409?source=your_stories_page-------------------------------------,11/20/2024
How to Install TA-Lib on a Local Computer,https://medium.com/datafrens-sg/what-is-datafrens-why-do-we-need-it-is-it-just-another-spammy-chatgroup-c6e21059034d?source=your_stories_page-------------------------------------,11/21/2024
Part 8 of Python for Finance by Dr. Alvin Ang,https://medium.com/datafrens-sg/are-you-about-to-quit-datafrens-before-that-learn-the-whatsapp-archive-function-63a2f1dae627?source=your_stories_page-------------------------------------,11/22/2024
How to Use R Studio as a Python IDE,https://medium.com/datafrens-sg/enhancing-ingredient-resource-allocation-efficiency-for-kazo-a-leading-cream-puff-bakery-in-ca1003a5e7c5?source=your_stories_page-------------------------------------,11/23/2024
Part 14 of Simple Python by Dr. Alvin Ang,https://medium.com/insiderfinance/how-to-use-a-scoring-board-to-choose-the-right-financial-job-8131decbe8e9?source=your_stories_page-------------------------------------,11/24/2024
Performing Simple Linear Regression to Tesla Stock Price Prediction (the RIGHT WAY…),https://medium.com/datafrens-sg/a-super-long-list-of-data-software-4900428a6594?source=your_stories_page-------------------------------------,11/25/2024
Part 0b of Supervised Machine Learning for Trading in Python by Dr. Alvin Ang,https://medium.com/datadriveninvestor/step-by-step-tech-stock-selection-using-the-analytic-hierachy-process-ahp-ranking-the-stocks-c63e9a2ad1a8?source=your_stories_page-------------------------------------,11/26/2024
Learning Pandas TA,https://medium.com/datadriveninvestor/step-by-step-tech-stock-selection-using-the-analytic-hierachy-process-ahp-achieving-3ae1753985ee?source=your_stories_page-------------------------------------,11/27/2024
Part 7 of Python for Finance by Dr. Alvin Ang,https://medium.com/datadriveninvestor/step-by-step-tech-stock-selection-using-the-analytic-hierachy-process-ahp-establishing-177f32cbf2ec?source=your_stories_page-------------------------------------,11/28/2024
CHINA Datafrens 中国数据朋友,https://medium.com/microsoft-power-bi/step-by-step-power-bi-dax-creating-a-new-table-f4d6e335e43d?source=your_stories_page-------------------------------------,11/29/2024
